,access,starttime,endtime,duration,circle,sen_name,sat_name,fac_name,toptime,topazangle,topelangle
139,5,2022/10/21 01:54:23.260,2022/10/21 01:57:56.195,212.935,13,sen10,sat1,fac0,2022/10/21 01:56:09,342.947,59.743
140,1,2022/10/20 09:22:49.516,2022/10/20 09:23:21.821,32.304,4,sen10,sat11,fac0,2022/10/20 09:23:05,145.497,45.473
141,2,2022/10/21 00:53:29.022,2022/10/21 00:55:26.933,117.912,13,sen10,sat11,fac0,2022/10/21 00:54:27,218.178,53.103
142,1,2022/10/20 04:22:37.167,2022/10/20 04:27:07.254,270.087,1,sen10,sat13,fac0,2022/10/20 04:24:52,357.488,86.895
143,2,2022/10/20 19:32:30.554,2022/10/20 19:36:47.216,256.663,10,sen10,sat13,fac0,2022/10/20 19:34:38,216.078,73.119
144,1,2022/10/21 02:11:27.963,2022/10/21 02:14:07.964,160.001,15,sen10,sat14,fac0,2022/10/21 02:12:47,33.409,89.401
145,1,2022/10/20 07:44:46.365,2022/10/20 07:48:45.299,238.934,3,sen10,sat15,fac0,2022/10/20 07:46:45,198.165,76.119
146,2,2022/10/20 13:16:25.102,2022/10/20 13:20:14.202,229.100,6,sen10,sat15,fac0,2022/10/20 13:18:19,168.216,69.998
147,3,2022/10/20 15:07:59.956,2022/10/20 15:08:39.986,40.030,7,sen10,sat15,fac0,2022/10/20 15:08:19,333.812,45.423
148,1,2022/10/20 05:40:06.669,2022/10/20 05:40:46.091,39.422,2,sen10,sat18,fac0,2022/10/20 05:40:26,7.534,45.580
149,2,2022/10/20 07:26:10.000,2022/10/20 07:28:46.104,156.104,3,sen10,sat18,fac0,2022/10/20 07:27:28,2.806,57.414
150,3,2022/10/20 09:13:31.334,2022/10/20 09:15:29.674,118.340,4,sen10,sat18,fac0,2022/10/20 09:14:30,354.684,51.078
151,1,2022/10/20 04:39:31.929,2022/10/20 04:42:35.823,183.894,1,sen10,sat19,fac0,2022/10/20 04:41:03,111.964,53.639
152,2,2022/10/20 18:09:04.036,2022/10/20 18:13:32.162,268.125,9,sen10,sat19,fac0,2022/10/20 18:11:18,256.588,74.684
153,1,2022/10/20 05:39:13.451,2022/10/20 05:42:29.205,195.754,2,sen10,sat2,fac0,2022/10/20 05:40:51,222.104,57.360
154,2,2022/10/20 14:57:16.318,2022/10/20 15:01:22.621,246.303,7,sen10,sat2,fac0,2022/10/20 14:59:19,308.058,73.153
155,1,2022/10/20 05:15:35.595,2022/10/20 05:19:01.914,206.319,1,sen10,sat20,fac0,2022/10/20 05:17:18,133.268,73.077
156,1,2022/10/20 22:31:22.824,2022/10/20 22:32:03.205,40.381,12,sen10,sat21,fac0,2022/10/20 22:31:42,359.263,45.635
157,1,2022/10/20 19:56:30.574,2022/10/20 19:59:54.365,203.791,10,sen10,sat22,fac0,2022/10/20 19:58:12,82.946,76.927
